order_id,customer_id,orderDate,ProductType,OrderValue
538001,CUST10076,2025-06-03,Accessories,36.56
538002,CUST10011,2025-06-19,Accessories,525.72
538003,CUST10116,2025-06-14,Accessories,905.76
538004,CUST10128,2025-06-26,Stationery,404.4
538005,CUST10114,2025-06-06,Electronics,237.15
538006,CUST10231,2025-06-12,Kitchen,391.65
538007,CUST10140,2025-06-17,Kitchen,507.55
538008,CUST10031,2025-06-04,Kitchen,556.9
538009,CUST10086,2025-06-07,Electronics,42.0
538010,CUST10209,2025-06-24,Fashion,191.28
538011,CUST10219,2025-06-05,Furniture,341.64
538012,CUST10073,2025-06-10,Stationery,17.5
538013,CUST10149,2025-06-27,Home Decor,909.04
538014,CUST10244,2025-06-25,Gift Items,793.6
538015,CUST10192,2025-06-24,Electronics,233.92
538016,CUST10202,2025-06-19,Furniture,299.6
538017,CUST10088,2025-06-15,Kitchen,873.9
538018,CUST10198,2025-06-14,Holiday Items,611.28
538019,CUST10143,2025-06-28,Home Decor,216.16
538020,CUST10033,2025-06-28,Fashion,112.98
538021,CUST10214,2025-06-22,Stationery,61.23
538022,CUST10176,2025-06-14,Holiday Items,174.0
538023,CUST10006,2025-06-19,Toys,452.52
538024,CUST10244,2025-06-05,Stationery,110.85
538025,CUST10243,2025-06-07,Holiday Items,941.36
538026,CUST10122,2025-06-07,Kitchen,130.6
538027,CUST10164,2025-06-15,Fashion,416.52
538028,CUST10142,2025-06-22,Gift Items,45.28
538029,CUST10126,2025-06-20,Home Decor,99.61
538030,CUST10247,2025-06-30,Holiday Items,77.64
538031,CUST10169,2025-06-10,Furniture,133.45
538032,CUST10133,2025-06-12,Home Decor,111.84
538033,CUST10106,2025-06-30,Holiday Items,122.7
538034,CUST10138,2025-06-05,Holiday Items,356.34
538035,CUST10245,2025-06-13,Electronics,898.2
538036,CUST10111,2025-06-10,Accessories,314.34
538037,CUST10151,2025-06-10,Electronics,220.32
538038,CUST10071,2025-06-15,Electronics,1040.64
538039,CUST10017,2025-06-15,Holiday Items,118.95
538040,CUST10146,2025-06-30,Accessories,257.16
538041,CUST10189,2025-06-02,Kitchen,568.7
538042,CUST10117,2025-06-30,Stationery,392.2
538043,CUST10208,2025-06-27,Gift Items,242.25
538044,CUST10159,2025-06-29,Holiday Items,254.16
538045,CUST10047,2025-06-22,Toys,477.0
538046,CUST10062,2025-06-02,Gift Items,97.48
538047,CUST10075,2025-06-18,Kitchen,531.0
538048,CUST10196,2025-06-14,Furniture,437.12
538049,CUST10194,2025-06-03,Kitchen,238.9
538050,CUST10105,2025-06-11,Accessories,1110.84
538051,CUST10012,2025-06-17,Accessories,96.6
538052,CUST10173,2025-06-23,Accessories,11.1
538053,CUST10220,2025-06-13,Electronics,343.04
538054,CUST10030,2025-06-09,Gift Items,55.52
538055,CUST10125,2025-06-15,Accessories,487.56
538056,CUST10063,2025-06-22,Accessories,24.4
538057,CUST10216,2025-06-09,Gift Items,173.46
538058,CUST10026,2025-06-20,Gift Items,303.06
538059,CUST10101,2025-06-24,Gift Items,85.45
538060,CUST10174,2025-06-01,Fashion,162.78
538061,CUST10056,2025-06-06,Home Decor,162.84
538062,CUST10013,2025-06-23,Furniture,334.8
538063,CUST10114,2025-06-10,Home Decor,96.8
538064,CUST10197,2025-06-13,Electronics,8.22
538065,CUST10052,2025-06-08,Kitchen,186.08
538066,CUST10087,2025-06-01,Electronics,52.05
538067,CUST10025,2025-06-29,Gift Items,56.84
538068,CUST10028,2025-06-17,Stationery,23.01
538069,CUST10160,2025-06-07,Electronics,411.24
538070,CUST10031,2025-06-14,Electronics,587.04
538071,CUST10045,2025-06-11,Home Decor,59.76
538072,CUST10100,2025-06-01,Electronics,634.72
538073,CUST10209,2025-06-22,Fashion,283.6
538074,CUST10056,2025-06-29,Holiday Items,45.96
538075,CUST10027,2025-06-16,Furniture,463.45
538076,CUST10154,2025-06-04,Stationery,96.3
538077,CUST10178,2025-06-25,Gift Items,657.2
538078,CUST10227,2025-06-25,Stationery,138.6
538079,CUST10156,2025-06-01,Toys,104.3
538080,CUST10190,2025-06-21,Electronics,474.3
538081,CUST10060,2025-06-01,Home Decor,858.36
538082,CUST10110,2025-06-24,Electronics,77.58
538083,CUST10128,2025-06-12,Fashion,19.08
538084,CUST10165,2025-06-07,Home Decor,81.28
538085,CUST10243,2025-06-20,Accessories,444.0
538086,CUST10165,2025-06-11,Home Decor,109.68
538087,CUST10166,2025-06-14,Fashion,1146.36
538088,CUST10085,2025-06-24,Stationery,29.41
538089,CUST10233,2025-06-02,Electronics,106.72
538090,CUST10134,2025-06-13,Stationery,295.8
538091,CUST10017,2025-06-01,Accessories,163.44
538092,CUST10163,2025-06-02,Gift Items,229.12
538093,CUST10152,2025-06-06,Furniture,69.0
538094,CUST10110,2025-06-03,Accessories,121.08
538095,CUST10063,2025-06-07,Holiday Items,108.95
538096,CUST10074,2025-06-10,Toys,221.07
538097,CUST10070,2025-06-07,Accessories,1162.1
538098,CUST10102,2025-06-12,Holiday Items,228.48
538099,CUST10130,2025-06-14,Toys,173.43
538100,CUST10245,2025-06-27,Accessories,734.72
538101,CUST10219,2025-06-14,Kitchen,92.03
538102,CUST10142,2025-06-05,Gift Items,362.15
538103,CUST10117,2025-06-10,Fashion,236.0
538104,CUST10019,2025-06-16,Stationery,548.4
538105,CUST10040,2025-06-07,Electronics,259.5
538106,CUST10187,2025-06-17,Stationery,4.01
538107,CUST10241,2025-06-14,Holiday Items,500.4
538108,CUST10165,2025-06-10,Toys,285.72
538109,CUST10236,2025-06-02,Kitchen,101.06
538110,CUST10050,2025-06-06,Holiday Items,896.24
538111,CUST10185,2025-06-25,Stationery,465.6
538112,CUST10177,2025-06-21,Stationery,1029.84
538113,CUST10109,2025-06-30,Electronics,78.98
538114,CUST10209,2025-06-30,Stationery,234.52
538115,CUST10038,2025-06-21,Fashion,84.45
538116,CUST10066,2025-06-05,Electronics,1134.5
538117,CUST10024,2025-06-25,Holiday Items,11.85
538118,CUST10021,2025-06-29,Furniture,683.68
538119,CUST10213,2025-06-06,Holiday Items,421.72
538120,CUST10248,2025-06-17,Furniture,418.95
538121,CUST10106,2025-06-24,Kitchen,570.88
538122,CUST10205,2025-06-25,Stationery,154.5
538123,CUST10239,2025-06-07,Holiday Items,102.33
538124,CUST10209,2025-06-06,Accessories,16.25
538125,CUST10179,2025-06-25,Holiday Items,13.88
538126,CUST10188,2025-06-10,Holiday Items,617.76
538127,CUST10181,2025-06-06,Gift Items,69.69
538128,CUST10243,2025-06-17,Kitchen,238.64
538129,CUST10048,2025-06-07,Electronics,691.3
538130,CUST10195,2025-06-26,Electronics,90.62
538131,CUST10105,2025-06-28,Accessories,590.0
538132,CUST10021,2025-06-06,Fashion,209.06
538133,CUST10017,2025-06-09,Stationery,93.76
538134,CUST10125,2025-06-16,Kitchen,71.31
538135,CUST10245,2025-06-25,Home Decor,9.67
538136,CUST10203,2025-06-17,Home Decor,13.88
538137,CUST10069,2025-06-25,Accessories,586.8
538138,CUST10110,2025-06-20,Stationery,914.4
538139,CUST10081,2025-06-11,Electronics,495.72
538140,CUST10157,2025-06-13,Home Decor,483.9
538141,CUST10026,2025-06-26,Home Decor,630.54
538142,CUST10186,2025-06-13,Gift Items,1047.9
538143,CUST10136,2025-06-28,Fashion,73.22
538144,CUST10176,2025-06-20,Accessories,183.16
538145,CUST10001,2025-06-07,Stationery,612.48
538146,CUST10012,2025-06-28,Stationery,76.97
538147,CUST10103,2025-06-16,Toys,299.4
538148,CUST10242,2025-06-30,Accessories,86.86
538149,CUST10156,2025-06-10,Electronics,177.56
538150,CUST10147,2025-06-29,Furniture,314.13
538151,CUST10023,2025-06-26,Fashion,17.52
538152,CUST10044,2025-06-15,Accessories,1422.0
538153,CUST10062,2025-06-18,Electronics,118.3
538154,CUST10180,2025-06-22,Kitchen,90.12
538155,CUST10008,2025-06-23,Gift Items,107.2
538156,CUST10072,2025-06-25,Electronics,651.36
538157,CUST10172,2025-06-29,Kitchen,403.75
538158,CUST10186,2025-06-21,Accessories,332.76
538159,CUST10224,2025-06-11,Electronics,191.96
538160,CUST10234,2025-06-13,Holiday Items,156.34
538161,CUST10207,2025-06-14,Electronics,1392.36
538162,CUST10023,2025-06-10,Kitchen,131.76
538163,CUST10240,2025-06-19,Electronics,84.96
538164,CUST10219,2025-06-05,Stationery,139.62
538165,CUST10080,2025-06-01,Home Decor,562.32
538166,CUST10109,2025-06-13,Stationery,297.72
538167,CUST10204,2025-06-30,Gift Items,577.26
538168,CUST10057,2025-06-19,Kitchen,965.88
538169,CUST10118,2025-06-28,Stationery,28.64
538170,CUST10215,2025-06-10,Electronics,295.2
538171,CUST10154,2025-06-05,Fashion,824.0
538172,CUST10206,2025-06-28,Home Decor,270.84
538173,CUST10032,2025-06-23,Fashion,232.74
538174,CUST10127,2025-06-07,Fashion,766.5
538175,CUST10086,2025-06-26,Gift Items,75.28
538176,CUST10208,2025-06-30,Electronics,408.6
538177,CUST10046,2025-06-25,Accessories,110.97
538178,CUST10169,2025-06-27,Gift Items,301.12
538179,CUST10109,2025-06-11,Accessories,66.88
538180,CUST10019,2025-06-13,Furniture,549.18
538181,CUST10050,2025-06-30,Furniture,178.4
538182,CUST10193,2025-06-11,Toys,111.52
538183,CUST10078,2025-06-23,Accessories,102.35
538184,CUST10179,2025-06-15,Accessories,210.96
538185,CUST10056,2025-06-07,Electronics,539.6
538186,CUST10148,2025-06-28,Kitchen,45.06
538187,CUST10174,2025-06-14,Gift Items,140.25
538188,CUST10046,2025-06-16,Home Decor,13.79
538189,CUST10087,2025-06-21,Toys,235.36
538190,CUST10185,2025-06-21,Holiday Items,931.52
538191,CUST10102,2025-06-08,Accessories,25.96
538192,CUST10168,2025-06-06,Holiday Items,416.7
538193,CUST10210,2025-06-28,Holiday Items,187.76
538194,CUST10095,2025-06-15,Home Decor,384.0
538195,CUST10126,2025-06-04,Furniture,32.4
538196,CUST10147,2025-06-19,Accessories,20.84
538197,CUST10204,2025-06-04,Toys,420.05
538198,CUST10180,2025-06-21,Holiday Items,142.86
538199,CUST10084,2025-06-04,Kitchen,348.2
538200,CUST10180,2025-06-27,Home Decor,290.64
538201,CUST10201,2025-06-18,Furniture,542.72
538202,CUST10150,2025-06-27,Furniture,100.1
538203,CUST10248,2025-06-07,Kitchen,182.08
538204,CUST10047,2025-06-23,Home Decor,311.37
538205,CUST10032,2025-06-11,Home Decor,660.6
538206,CUST10042,2025-06-21,Kitchen,210.21
538207,CUST10009,2025-06-25,Kitchen,392.04
538208,CUST10248,2025-06-12,Furniture,123.94
538209,CUST10001,2025-06-22,Electronics,156.63
538210,CUST10232,2025-06-17,Fashion,39.6
538211,CUST10126,2025-06-19,Stationery,657.36
538212,CUST10156,2025-06-12,Furniture,1314.24
538213,CUST10170,2025-06-04,Home Decor,325.92
538214,CUST10077,2025-06-05,Electronics,27.28
538215,CUST10152,2025-06-07,Stationery,219.75
538216,CUST10109,2025-06-20,Kitchen,88.0
538217,CUST10167,2025-06-13,Gift Items,389.52
538218,CUST10174,2025-06-09,Holiday Items,448.72
538219,CUST10162,2025-06-03,Fashion,196.41
538220,CUST10169,2025-06-19,Furniture,345.8
538221,CUST10081,2025-06-05,Holiday Items,155.43
538222,CUST10064,2025-06-20,Kitchen,44.32
538223,CUST10176,2025-06-04,Furniture,85.7
538224,CUST10023,2025-06-21,Stationery,82.0
538225,CUST10223,2025-06-05,Electronics,563.52
538226,CUST10249,2025-06-13,Electronics,18.3
538227,CUST10237,2025-06-26,Kitchen,914.64
538228,CUST10079,2025-06-29,Toys,193.08
538229,CUST10180,2025-06-12,Toys,137.3
538230,CUST10026,2025-06-20,Home Decor,336.55
538231,CUST10100,2025-06-25,Gift Items,119.58
538232,CUST10248,2025-06-22,Furniture,583.26
538233,CUST10104,2025-06-28,Accessories,868.44
538234,CUST10132,2025-06-22,Gift Items,98.82
538235,CUST10189,2025-06-19,Fashion,57.78
538236,CUST10250,2025-06-21,Stationery,110.42
538237,CUST10181,2025-06-14,Accessories,328.76
538238,CUST10205,2025-06-12,Accessories,162.24
538239,CUST10134,2025-06-14,Electronics,434.4
538240,CUST10243,2025-06-03,Fashion,385.95
538241,CUST10024,2025-06-28,Kitchen,744.32
538242,CUST10043,2025-06-03,Toys,176.54
538243,CUST10142,2025-06-10,Accessories,12.44
538244,CUST10174,2025-06-14,Furniture,115.55
538245,CUST10176,2025-06-17,Furniture,176.58
538246,CUST10049,2025-06-20,Home Decor,100.28
538247,CUST10089,2025-06-24,Electronics,680.4
538248,CUST10156,2025-06-02,Accessories,994.56
538249,CUST10196,2025-06-29,Furniture,245.28
538250,CUST10215,2025-06-12,Gift Items,92.16
538251,CUST10109,2025-06-02,Accessories,528.12
538252,CUST10087,2025-06-04,Electronics,180.24
538253,CUST10031,2025-06-28,Fashion,1229.64
538254,CUST10055,2025-06-09,Home Decor,296.35
538255,CUST10238,2025-06-10,Furniture,224.4
538256,CUST10159,2025-06-29,Accessories,112.41
538257,CUST10118,2025-06-20,Stationery,44.3
538258,CUST10090,2025-06-01,Gift Items,220.4
538259,CUST10111,2025-06-04,Accessories,353.28
538260,CUST10231,2025-06-17,Gift Items,49.84
538261,CUST10002,2025-06-16,Gift Items,136.4
538262,CUST10096,2025-06-13,Fashion,145.35
538263,CUST10138,2025-06-06,Fashion,316.98
538264,CUST10215,2025-06-22,Accessories,237.5
538265,CUST10112,2025-06-24,Home Decor,56.82
538266,CUST10051,2025-06-23,Kitchen,637.92
538267,CUST10102,2025-06-05,Holiday Items,143.92
538268,CUST10171,2025-06-06,Electronics,650.22
538269,CUST10031,2025-06-09,Holiday Items,1152.6
538270,CUST10175,2025-06-26,Gift Items,671.4
538271,CUST10226,2025-06-25,Holiday Items,544.5
538272,CUST10216,2025-06-24,Holiday Items,1053.6
538273,CUST10203,2025-06-04,Home Decor,46.17
538274,CUST10004,2025-06-17,Electronics,62.34
538275,CUST10110,2025-06-11,Toys,82.2
538276,CUST10073,2025-06-10,Accessories,53.53
538277,CUST10159,2025-06-08,Gift Items,183.82
538278,CUST10197,2025-06-09,Kitchen,293.52
538279,CUST10171,2025-06-08,Holiday Items,596.65
538280,CUST10208,2025-06-26,Kitchen,232.72
538281,CUST10219,2025-06-07,Toys,891.6
538282,CUST10103,2025-06-05,Home Decor,88.35
538283,CUST10038,2025-06-30,Holiday Items,594.35
538284,CUST10222,2025-06-03,Home Decor,74.93
538285,CUST10180,2025-06-10,Electronics,402.88
