customer_id,recency,frequency,monetary,r_score,f_score,m_score,total_score,rfm_segment
CUST10171,169,12,3719.9600000000005,1,1,1,3,lost/inactive
CUST10103,151,13,4315.8899999999994,1,1,1,3,lost/inactive
CUST10234,162,14,4842.97,1,1,2,4,lost/inactive
CUST10120,144,7,1911.0900000000001,2,1,1,4,lost/inactive
CUST10136,153,15,4339.11,1,2,1,4,lost/inactive
CUST10068,136,13,2861.46,2,1,1,4,lost/inactive
CUST10051,139,10,3854.1500000000005,2,1,1,4,lost/inactive
CUST10110,143,16,3478.24,2,2,1,5,Requires attention
CUST10085,127,14,4259.9299999999994,3,1,1,5,Requires attention
CUST10223,159,16,5474.0,1,2,3,6,Requires attention
CUST10224,234,15,5436.59,1,2,3,6,Requires attention
CUST10032,129,15,4457.36,3,2,1,6,Requires attention
CUST10239,123,12,2987.84,4,1,1,6,Requires attention
CUST10145,177,17,5014.3400000000011,1,3,2,6,Requires attention
CUST10189,138,15,4573.0300000000007,2,2,2,6,Requires attention
CUST10200,127,16,4332.9900000000007,3,2,1,6,Requires attention
CUST10093,156,15,5307.88,1,2,3,6,Requires attention
CUST10077,128,13,5235.9,3,1,3,7,Requires attention
CUST10132,119,14,4221.0899999999992,5,1,1,7,Requires attention
CUST10192,148,13,5581.65,2,1,4,7,Requires attention
CUST10015,119,11,2656.07,5,1,1,7,Requires attention
CUST10191,183,16,5567.869999999999,1,2,4,7,Requires attention
CUST10247,142,17,4649.99,2,3,2,7,Requires attention
CUST10016,131,17,4793.5599999999995,3,3,2,8,Requires attention
CUST10174,118,15,4389.170000000001,5,2,1,8,Requires attention
CUST10025,170,17,5709.47,1,3,4,8,Requires attention
CUST10216,160,16,6376.2199999999993,1,2,5,8,Requires attention
CUST10212,115,9,3151.1499999999996,6,1,1,8,Requires attention
CUST10250,122,17,3152.97,4,4,1,9,Requires attention
CUST10249,122,16,4771.06,4,3,2,9,Requires attention
CUST10066,134,14,6043.41,3,1,5,9,Requires attention
CUST10014,177,15,6494.5600000000013,1,2,6,9,Requires attention
CUST10184,123,16,4851.0300000000007,4,3,2,9,Requires attention
CUST10063,168,18,5651.2899999999991,1,4,4,9,Requires attention
CUST10039,125,16,4508.75,4,3,2,9,Requires attention
CUST10107,117,11,4919.29,6,1,2,9,Requires attention
CUST10141,172,15,6759.4499999999989,1,2,6,9,Requires attention
CUST10065,113,13,4234.38,7,1,1,9,Requires attention
CUST10133,147,18,5232.8100000000013,2,4,3,9,Requires attention
CUST10020,141,15,6415.84,2,2,5,9,Requires attention
CUST10206,124,17,4961.63,4,3,2,9,Requires attention
CUST10209,124,18,3316.94,4,4,1,9,Requires attention
CUST10003,132,14,6094.7199999999993,3,1,5,9,Requires attention
CUST10162,126,16,5213.03,4,3,3,10,Engaged
CUST10229,129,15,6165.12,3,2,5,10,Engaged
CUST10088,112,14,3985.8200000000006,8,1,1,10,Engaged
CUST10076,129,18,5078.3700000000008,3,4,3,10,Engaged
CUST10199,137,16,6764.4400000000005,2,2,6,10,Engaged
CUST10072,120,17,4134.1200000000008,5,4,1,10,Engaged
CUST10166,156,18,6244.1,1,4,5,10,Engaged
CUST10213,129,15,6224.51,3,2,5,10,Engaged
CUST10057,123,13,6331.0400000000009,4,1,5,10,Engaged
CUST10035,112,13,4288.4,8,1,1,10,Engaged
CUST10154,141,17,6349.9,2,3,5,10,Engaged
CUST10121,168,16,7189.42,1,2,7,10,Engaged
CUST10104,116,14,5214.1699999999992,6,1,3,10,Engaged
CUST10232,114,15,3878.6099999999997,7,2,1,10,Engaged
CUST10127,108,14,4139.38,9,1,1,11,Engaged
CUST10045,113,15,4686.1100000000006,7,2,2,11,Engaged
CUST10149,169,17,7402.2800000000007,1,3,7,11,Engaged
