customer_id,recency,frequency,monetary,r_score,f_score,m_score,total_score,rfm_segment
CUST10178,135,29,12550.94,2,1,1,4,lost/inactive
CUST10131,151,24,11094.779999999997,1,2,1,4,lost/inactive
CUST10064,155,25,9172.97,1,1,2,4,lost/inactive
CUST10116,134,27,12723.350000000002,3,1,1,5,"at risk"
CUST10012,145,23,10420.820000000002,2,2,1,5,"at risk"
CUST10109,163,23,8652.93,1,2,2,5,"at risk"
CUST10125,124,28,10560.33,4,1,1,6,"at risk"
CUST10021,122,25,9742.420000000002,4,1,1,6,"at risk"
CUST10112,128,26,9405.710000000001,3,1,2,6,"at risk"
CUST10106,157,21,8296.349999999999,1,3,2,6,"at risk"
CUST10061,140,28,7581.9800000000005,2,1,3,6,"at risk"
CUST10153,135,22,10872.460000000003,3,3,1,7,"at risk"
CUST10052,120,25,10607.319999999998,5,1,1,7,"at risk"
CUST10201,125,26,9435.720000000003,4,1,2,7,"at risk"
CUST10245,134,23,8470.020000000002,3,2,2,7,"at risk"
CUST10082,144,24,7959.4800000000005,2,2,3,7,"at risk"
CUST10073,138,24,7922.540000000001,2,2,3,7,"at risk"
CUST10140,115,26,9895.26,6,1,1,8,"at risk"
CUST10087,115,30,9484.82,6,1,1,8,"at risk"
CUST10083,172,20,7749.040000000002,1,4,3,8,"at risk"
CUST10164,131,25,7119.720000000001,3,1,4,8,"at risk"
CUST10208,135,25,6947.769999999999,3,1,4,8,"at risk"
CUST10248,112,27,10770.45,7,1,1,9,"at risk"
CUST10138,121,21,9834.97,5,3,1,9,"at risk"
CUST10028,115,25,9169.310000000003,6,1,2,9,"at risk"
CUST10123,126,22,8838.759999999998,4,3,2,9,"at risk"
CUST10231,120,24,8661.130000000001,5,2,2,9,"at risk"
CUST10056,127,21,8587.460000000001,4,3,2,9,"at risk"
CUST10029,137,20,7545.6799999999985,2,4,3,9,"at risk"
CUST10128,136,20,7487.710000000001,2,4,3,9,"at risk"
CUST10175,113,24,10853.32,7,2,1,10,Engaged
CUST10193,121,20,10147.210000000001,5,4,1,10,Engaged
CUST10156,111,29,9890.85,8,1,1,10,Engaged
CUST10237,118,21,9636.500000000004,5,4,1,10,Engaged
CUST10098,113,24,9468.55,7,2,1,10,Engaged
CUST10129,222,18,8217.9,1,6,3,10,Engaged
CUST10157,182,18,8040.989999999999,1,6,3,10,Engaged
CUST10219,118,24,7873.6,5,2,3,10,Engaged
CUST10038,125,22,7596.269999999999,4,3,3,10,Engaged
CUST10126,154,19,7238.7300000000005,1,5,4,10,Engaged
CUST10062,148,21,6617.95,2,3,5,10,Engaged
CUST10034,128,23,6499.119999999999,3,2,5,10,Engaged
CUST10202,107,29,11137.3,9,1,1,11,Engaged
CUST10137,120,20,10667.170000000002,5,5,1,11,Engaged
CUST10185,111,27,8985.520000000002,8,1,2,11,Engaged
CUST10024,116,23,7869.850000000001,6,2,3,11,Engaged
CUST10194,115,23,7473.269999999999,6,2,3,11,Engaged
CUST10042,123,21,7097.4800000000005,4,3,4,11,Engaged
CUST10036,144,20,6735.150000000001,2,4,5,11,Engaged
CUST10081,141,20,6659.990000000002,2,4,5,11,Engaged
CUST10227,125,24,6622.6500000000015,4,2,5,11,Engaged
CUST10084,120,25,6514.479999999999,5,1,5,11,Engaged
CUST10007,140,23,5600.1500000000015,2,2,7,11,Engaged
CUST10078,108,30,9089.49,9,1,2,12,Engaged
CUST10240,115,21,8983.78,6,4,2,12,Engaged
CUST10218,116,21,8924.54,6,4,2,12,Engaged
CUST10244,108,27,8554.34,9,1,2,12,Engaged
CUST10243,111,24,8525.84,8,2,2,12,Engaged
CUST10010,128,17,8377.27,3,7,2,12,Engaged
CUST10026,110,23,8320.439999999999,8,2,2,12,Engaged
CUST10050,121,20,8088.729999999999,5,4,3,12,Engaged
CUST10055,125,19,7579.659999999999,4,5,3,12,Engaged
CUST10134,115,22,7477.8499999999985,6,3,3,12,Engaged
CUST10149,169,17,7402.28,1,7,4,12,Engaged
CUST10002,128,20,6729.95,3,4,5,12,Engaged
CUST10190,143,19,6521.929999999999,2,5,5,12,Engaged
CUST10006,147,19,6417.4,2,5,5,12,Engaged
CUST10215,140,22,5684.68,2,3,7,12,Engaged
CUST10031,109,22,11317.930000000002,9,3,1,13,Engaged
CUST10207,107,25,10979.439999999999,10,2,1,13,Engaged
CUST10197,107,25,10205.13,10,2,1,13,Engaged
CUST10046,107,33,9010.379999999997,10,1,2,13,Engaged
CUST10169,108,25,8786.050000000001,9,2,2,13,Engaged
CUST10043,120,19,7512.360000000001,5,5,3,13,Engaged
CUST10115,117,22,7248.380000000001,6,3,4,13,Engaged
CUST10121,168,16,7189.42,1,8,4,13,Engaged
CUST10054,118,21,6939.25,5,4,4,13,Engaged
CUST10230,131,19,6500.95,3,5,5,13,Engaged
CUST10222,119,22,6463.950000000001,5,3,5,13,Engaged
CUST10166,156,18,6244.1,1,6,6,13,Engaged
CUST10147,129,21,5638.75,3,3,7,13,Engaged
CUST10233,106,22,11367.44,10,3,1,14,Engaged
CUST10167,108,21,9747.529999999999,9,4,1,14,Engaged
CUST10221,106,25,8884.449999999999,10,2,2,14,Engaged
CUST10211,106,23,8522.86,10,2,2,14,Engaged
CUST10096,112,21,7549.790000000001,7,4,3,14,Engaged
CUST10163,107,23,7461.800000000001,9,2,3,14,Engaged
CUST10091,128,17,7424.510000000001,3,7,4,14,Engaged
CUST10217,121,19,7417.180000000001,5,5,4,14,Engaged
CUST10089,122,18,7182.18,4,6,4,14,Engaged
CUST10118,111,23,6897.270000000001,8,2,4,14,Engaged
CUST10001,121,21,6405.3099999999995,5,3,6,14,Engaged
CUST10205,114,25,6186.099999999999,7,1,6,14,Engaged
CUST10067,124,20,6104.6399999999985,4,4,6,14,Engaged
CUST10124,125,21,5780.420000000001,4,3,7,14,Engaged
CUST10180,115,26,5749.970000000001,6,1,7,14,Engaged
CUST10063,168,18,5651.29,1,6,7,14,Engaged
CUST10013,106,22,8647.289999999999,10,3,2,15,"Potential loyalists"
CUST10022,107,22,8181.070000000001,9,3,3,15,"Potential loyalists"
CUST10049,113,20,7864.229999999999,7,5,3,15,"Potential loyalists"
